                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                  1.199,                0.79489,                  1.317,                0.79636,                 0.7302,                0.77736,                0.45074,                 1.5114,                 1.0081,                 1.6119,               0.004159,               0.004159,               0.004159
                     62,                 1.1858,                0.77917,                 1.3079,                0.80163,                0.71991,                0.77567,                0.45152,                 1.5247,                 1.0464,                 1.6302,                0.00406,                0.00406,                0.00406
                     63,                 1.1814,                0.77005,                 1.3082,                0.79652,                0.72917,                0.77644,                0.45373,                 1.5263,                 1.0488,                 1.6322,               0.003961,               0.003961,               0.003961
                     64,                 1.1657,                0.75159,                 1.2958,                 0.8157,                0.71032,                 0.7779,                0.45756,                 1.5199,                 1.0252,                 1.6172,               0.003862,               0.003862,               0.003862
                     65,                 1.1565,                0.74153,                 1.2872,                 0.7855,                0.72336,                0.77539,                0.45379,                 1.5483,                 1.0116,                 1.6416,               0.003763,               0.003763,               0.003763
                     66,                 1.1536,                0.74253,                  1.288,                0.81065,                0.72015,                0.77817,                 0.4581,                   1.53,                0.95929,                 1.6192,               0.003664,               0.003664,               0.003664
                     67,                 1.1453,                0.73105,                 1.2793,                0.79795,                0.72222,                0.78063,                0.46259,                 1.5227,                0.97347,                 1.6157,               0.003565,               0.003565,               0.003565
                     68,                 1.1304,                   0.71,                 1.2687,                0.80747,                0.71451,                0.77552,                0.45661,                 1.5156,                  1.034,                 1.6215,               0.003466,               0.003466,               0.003466
                     69,                 1.1366,                0.72716,                 1.2713,                0.80368,                 0.7107,                0.77147,                0.46072,                 1.5206,                 1.0184,                 1.6213,               0.003367,               0.003367,               0.003367
                     70,                 1.1161,                 0.7228,                  1.259,                0.80559,                0.71605,                0.77142,                0.46122,                 1.5097,                 1.0139,                 1.6215,               0.003268,               0.003268,               0.003268
                     71,                 1.1048,                0.69689,                 1.2543,                0.80725,                0.71682,                0.77593,                0.46367,                 1.5106,                0.97694,                 1.6238,               0.003169,               0.003169,               0.003169
                     72,                 1.1076,                0.70063,                 1.2554,                0.81176,                 0.7154,                0.77434,                0.46268,                 1.5189,                0.96187,                 1.6275,                0.00307,                0.00307,                0.00307
                     73,                    1.1,                0.69282,                 1.2469,                0.79655,                0.71898,                0.77639,                0.46361,                  1.521,                0.97711,                 1.6216,               0.002971,               0.002971,               0.002971
                     74,                 1.0748,                0.66616,                 1.2269,                0.79249,                 0.7284,                0.77926,                0.46325,                 1.5018,                0.96388,                 1.6091,               0.002872,               0.002872,               0.002872
                     75,                  1.071,                 0.6725,                 1.2302,                0.81603,                0.72299,                0.78024,                0.46548,                 1.5225,                0.96408,                 1.6321,               0.002773,               0.002773,               0.002773
                     76,                 1.0687,                0.66353,                 1.2215,                0.80624,                0.73225,                0.77871,                0.46401,                 1.5317,                0.96393,                  1.649,               0.002674,               0.002674,               0.002674
                     77,                 1.0634,                0.65833,                 1.2302,                0.81937,                0.72451,                0.78299,                0.46355,                 1.5387,                0.96353,                 1.6511,               0.002575,               0.002575,               0.002575
                     78,                 1.0542,                0.65508,                 1.2236,                0.82332,                0.71552,                0.77841,                0.46652,                 1.5431,                 0.9574,                 1.6558,               0.002476,               0.002476,               0.002476
                     79,                 1.0366,                0.63299,                 1.2062,                0.82005,                0.73071,                0.78059,                0.46814,                 1.5414,                0.95957,                 1.6626,               0.002377,               0.002377,               0.002377
